ad_id,date_published,typology,asking_price_sek,land_area_sqm,living_area_sqm,sqm_price_sek,number_rooms,address,location,coordenates
21461436,2024-12-27,HOUSE,3750000.0,1791.0,220.0,2093.8,6.0,Hällingsjövägen 1822,"Anneberg - Alafors - Älvsåker, Kungsbacka kommun","57.5670134475,12.3236566779"
21461523,2024-12-27,APARTMENT,1995000.0,0.0,71.0,28099.0,3.0,Regnvädersgatan 3,"Biskopsgården, Göteborgs kommun","57.7154655,11.88815"
21461459,2024-12-27,APARTMENT,1495000.0,0.0,57.5,26000.0,2.0,Hantverkargatan 14B,"Norr, Gävle kommun","60.67658,17.1349316"
21461497,2024-12-27,APARTMENT,2350000.0,0.0,57.0,41228.0,2.0,Lilla Munkebäcksgatan 7 D,"Munkebäck, Göteborgs kommun","57.7230876047,12.0217150374"
21461469,2024-12-27,APARTMENT,1980000.0,0.0,68.0,29118.0,3.0,Mandolingatan 3,"Ruddalen, Göteborgs kommun","57.65844,11.9178753"
21460998,2024-12-27,APARTMENT,650000.0,0.0,54.0,12037.0,2.0,Tjädervägen 11,"Korsta, Sundsvalls kommun","62.4009666,17.35749"
21461435,2024-12-27,PLOT,6495000.0,1067.0,0.0,6087.160262417994,0.0,Baggensvägen 30B,"Boo Gård, Nacka kommun","59.3143143598,18.3006377625"
21143977,2024-12-27,APARTMENT,1150000.0,0.0,42.0,27381.0,1.0,Bergängsvägen 17A,"Vallås, Halmstads kommun","56.6850739,12.9067659"
21430431,2024-12-27,APARTMENT,1695000.0,0.0,78.0,21731.0,3.0,Brynjegatan 21,"Komarken, Kungälvs kommun","57.86836,11.9546757"
21461474,2024-12-27,APARTMENT,1250000.0,0.0,64.0,19531.0,2.0,Dolomitvägen 104,"Lundby, Örebro kommun","59.30674,15.18551"
21460911,2024-12-27,HOUSE,6595000.0,1045.0,205.0,6311.0,12.0,Litslenaby 7,"Ekolsund, Enköpings kommun","59.6635323,17.27093"
21428853,2024-12-27,APARTMENT,3050000.0,0.0,103.0,29612.0,3.0,Sundholmsgatan 18,"Limhamn Ön, Malmö kommun","55.591115,12.922872"
21461352,2024-12-27,APARTMENT,1690000.0,0.0,70.5,23972.0,3.0,Drottninggatan 34,"Trossö, Karlskrona kommun","56.16288,15.5918179"
21461364,2024-12-27,APARTMENT,995000.0,0.0,42.5,23412.0,1.0,Västra Skrävlingevägen 125,"Gula Höja, Malmö kommun","55.58401,13.06165"
21460986,2024-12-27,HOUSE,3150000.0,1597.0,136.0,1972.45,5.0,Krokforsvägen 1,"Tunbyn, Sundsvalls kommun","62.3097267,17.1918755"
21461534,2024-12-27,HOUSE,2300000.0,1020.0,218.0,2254.9,5.0,Högalidsgatan 6,"Fagersanna, Tibro kommun","58.4689865,14.3067188"
21461390,2024-12-27,APARTMENT,2495000.0,0.0,34.0,73382.0,1.5,Kommendörsgatan 7B,"Majorna, Göteborgs kommun","57.6979561,11.929245"
21461555,2024-12-27,APARTMENT,1750000.0,0.0,79.5,22013.0,3.0,Odenskogsvägen 82,"Odensala, Östersunds kommun","63.1592255,14.6834812"
21461358,2024-12-27,APARTMENT,1745000.0,0.0,62.0,28145.0,2.0,Trekungagatan 7,"Kungälv - Komarken, Kungälvs kommun","57.86732,11.95365"
21459150,2024-12-27,APARTMENT,2195000.0,0.0,52.0,42212.0,2.0,Gamla Enköpingsvägen 158,"Sundbyberg - Ursvik, Sundbybergs kommun","59.38197,17.9461575"
21461084,2024-12-27,APARTMENT,3295000.0,0.0,83.0,39699.0,3.0,Gunnestorpsvägen 113,"Tuve, Göteborgs kommun","57.750355,11.928657"
21461540,2024-12-27,APARTMENT,2995000.0,0.0,42.0,71310.0,2.0,Vingavägen 7,"Blåsut, Stockholms kommun","59.2896271,18.0928249"
21461489,2024-12-27,HOUSE,1995000.0,4045.0,90.0,493.2,4.0,Resta 127,"Stora Mellösa, Örebro kommun","59.22644217179996,15.414077056493205"
21461463,2024-12-27,APARTMENT,1795000.0,0.0,61.5,29187.0,2.0,Södervärnsgatan 3C,"Möllevången, Malmö kommun","55.5890251,13.0115655"
21461152,2024-12-27,APARTMENT,1900000.0,0.0,103.0,18447.0,4.0,Kvistgatan 111,"Anderstorp, Skellefteå kommun","64.73986,20.98691"
21461066,2024-12-27,HOUSE,4000000.0,261.0,133.0,15325.67,5.0,Pionvägen 3,"Vaxholm, Vaxholms kommun","59.3957387,18.3975495"
